nHiddenLayers,nNeurons,function,learning_rate,batchSize,nEpochs,r2,mae,rmse
10,64,tanh,1.7849472091033994e-05,128,100,0.6520022749900818,0.4186740815639496,0.599840521812439
6,64,tanh,1.4446766768719316e-05,256,100,0.5909487009048462,0.4756503403186798,0.6503340005874634
4,256,relu,2.5870139059262204e-05,256,100,0.7701899409294128,0.3331747055053711,0.48745229840278625
7,512,relu,0.0052188217935511625,64,100,0.8827254772186279,0.2377755343914032,0.34821659326553345
4,256,relu,8.006700504440855e-05,64,82,0.8722310066223145,0.26370522379875183,0.3634631335735321
4,64,tanh,0.000616903349767323,64,100,0.8911606073379517,0.24239946901798248,0.3354599177837372
8,256,relu,0.0005152181431293904,128,100,0.9318348169326782,0.1517651230096817,0.2654782831668854
4,512,tanh,1.3508380197925031e-05,512,100,0.6586357355117798,0.429446816444397,0.5940959453582764
4,256,relu,0.0015806039551899604,64,71,0.9195555448532104,0.19614572823047638,0.288400262594223
10,128,tanh,0.008759061130945902,512,33,0.30410248041152954,0.6398971676826477,0.8482428789138794
5,64,tanh,0.006311214485572819,512,93,0.8951412439346313,0.2243732064962387,0.32926836609840393
6,64,tanh,6.601609303601146e-05,256,100,0.7117711305618286,0.3828929662704468,0.5459040403366089
5,512,tanh,0.0001264855113616743,256,100,0.9068418145179749,0.21915234625339508,0.3103545010089874
5,256,tanh,2.0313919324554725e-05,256,100,0.7210488319396973,0.37972918152809143,0.5370462536811829
9,512,tanh,0.00021947698168350347,256,100,0.9305001497268677,0.18185266852378845,0.2680647075176239
10,128,relu,2.6812567637766364e-05,512,100,0.7713050842285156,0.3463445007801056,0.48626819252967834
5,512,tanh,0.00013062916037555425,64,100,0.9249701499938965,0.1964288353919983,0.27852532267570496
5,64,relu,0.001610736790549125,512,85,0.874444842338562,0.25238358974456787,0.3603004515171051
9,512,relu,0.009752036912497836,256,100,0.8730658292770386,0.26147738099098206,0.3622737228870392
4,256,tanh,0.0013446877870110614,256,100,0.9272431135177612,0.1860104650259018,0.2742740213871002
9,128,tanh,0.00033594426809289513,64,84,0.9080593585968018,0.21333609521389008,0.30831974744796753
7,128,relu,1.5748685701057047e-05,512,100,0.7101207971572876,0.39195141196250916,0.5474647283554077
6,64,tanh,0.0002497466082364361,256,100,0.8141802549362183,0.3145732283592224,0.43832218647003174
10,128,tanh,0.00032254577638713366,64,100,0.9156449437141418,0.2020300030708313,0.29532697796821594
6,64,tanh,3.880661468137212e-05,256,100,0.670839786529541,0.4113529324531555,0.5833796262741089
5,128,relu,0.0009466700122518437,256,87,0.9132984280586243,0.21304889023303986,0.29940637946128845
10,256,relu,0.0019992955656750215,512,65,0.9142897725105286,0.1821547895669937,0.2976897656917572
9,512,tanh,0.0002294205934674943,64,100,0.9349137544631958,0.1608647257089615,0.2594132125377655
9,256,tanh,0.008435724421319353,128,17,0.09429162740707397,0.7441611289978027,0.9677022695541382
5,64,relu,7.423966695052477e-05,512,100,0.742476224899292,0.36718592047691345,0.5160077810287476
8,256,relu,0.0019469918133491314,512,100,0.9312839508056641,0.14337018132209778,0.2665488123893738
5,128,tanh,1.3995048207776086e-05,256,100,0.6292287111282349,0.4481513798236847,0.6191567778587341
6,64,relu,0.0001962380899296824,256,100,0.811007559299469,0.3092498183250427,0.4420483708381653
8,128,tanh,0.00045673971847094393,64,100,0.9097274541854858,0.1977887600660324,0.3055100440979004
4,128,relu,0.00015195365058834703,256,100,0.8410872220993042,0.2929838001728058,0.4053470492362976
7,64,relu,1.308404107180509e-05,256,100,0.6324372291564941,0.438729465007782,0.6164719462394714
8,256,relu,0.00015096065224955594,256,90,0.9027268886566162,0.22691906988620758,0.31713491678237915
10,64,tanh,9.856410455373823e-05,64,100,0.8314381837844849,0.30002912878990173,0.41747182607650757
6,128,relu,0.0005630796489023146,128,100,0.9115735292434692,0.20551557838916779,0.3023700416088104
4,128,relu,0.00021043389731349388,512,100,0.8215674161911011,0.3004443645477295,0.4295212924480438
10,512,relu,0.0013101641041135905,128,96,0.9219287633895874,0.16074377298355103,0.284114271402359
6,256,tanh,3.7739184159344626e-05,128,100,0.8187013268470764,0.31056979298591614,0.43295711278915405
5,512,tanh,0.000275049126214384,256,93,0.9233114123344421,0.2023235708475113,0.2815872132778168
7,256,relu,7.436318046301329e-05,256,96,0.8709434270858765,0.2655542194843292,0.36528992652893066
5,256,tanh,2.5811834057973234e-05,128,100,0.7670091390609741,0.33999043703079224,0.49081408977508545
5,64,relu,0.00017374171261446737,512,100,0.7837480306625366,0.33315926790237427,0.4728545844554901
5,512,tanh,0.00027061107176465924,128,95,0.9286708831787109,0.1890343278646469,0.27156955003738403
4,128,relu,0.005491477101508545,128,93,0.8955401182174683,0.2317298948764801,0.32864147424697876
10,512,tanh,3.621886993505313e-05,256,100,0.8645086288452148,0.26527902483940125,0.37428590655326843
8,512,relu,0.003574203005984465,512,88,0.9162930846214294,0.1869538128376007,0.29419025778770447
9,128,relu,0.0016212638026399252,256,100,0.9101995229721069,0.17838282883167267,0.30471017956733704
4,512,relu,3.583798663268812e-05,128,100,0.8745893836021423,0.2581365704536438,0.3600930869579315
5,512,tanh,0.007279548903902952,256,61,0.6859873533248901,0.39671921730041504,0.5697982907295227
9,64,tanh,8.325666798714687e-05,512,100,0.7374117374420166,0.36404114961624146,0.5210570096969604
7,128,tanh,0.0017506708942641755,256,100,0.9196683764457703,0.18821604549884796,0.28819796442985535
10,128,relu,0.001099071027836859,64,100,0.9221550822257996,0.1739150881767273,0.28370222449302673
8,128,relu,3.116100598457961e-05,512,100,0.7408177852630615,0.3569280803203583,0.5176666378974915
10,64,tanh,2.4879005692014307e-05,512,100,0.6057287454605103,0.4549907445907593,0.6384768486022949
10,64,relu,0.000543167523507832,64,96,0.8913238048553467,0.2278481125831604,0.3352082669734955
5,128,tanh,0.00013285648617428176,512,100,0.7979732155799866,0.3232661485671997,0.45703771710395813
9,128,tanh,2.2693396533770793e-05,512,100,0.6890426874160767,0.4054506719112396,0.5670194625854492
8,512,tanh,0.00295176182766954,128,20,0.1444750428199768,0.7160021066665649,0.9405111074447632
10,512,relu,5.272285047035125e-05,64,100,0.925568163394928,0.1822664439678192,0.27741312980651855
7,512,relu,0.0004161782950688887,64,100,0.9341756701469421,0.12666761875152588,0.2608799934387207
