winSize,hiddenLayers,neurons,function,learning_rate,batchSize,epochs,r2,mae,rmse
30,6,64,relu,0.00020476925891707448,64,epochs,0.8452745676040649,0.2770770490169525,0.38469263911247253
20,4,256,tanh,0.00029635370990926805,256,epochs,0.9083749651908875,0.21965958178043365,0.3077901303768158
30,9,512,relu,0.0020725366175725077,256,epochs,0.9178025722503662,0.1657310277223587,0.2803897559642792
30,5,512,tanh,0.00012080938802007575,64,epochs,0.9110710620880127,0.20818153023719788,0.2916451096534729
10,5,64,relu,0.00019630824837113173,512,epochs,0.7558226585388184,0.34727320075035095,0.4885769188404083
30,8,256,tanh,1.0889848669905585e-05,512,epochs,0.7590774893760681,0.35265523195266724,0.4800337255001068
30,5,512,relu,2.609276944541184e-05,256,epochs,0.8669342398643494,0.24945099651813507,0.35675185918807983
20,7,256,tanh,0.0022284344950291197,256,epochs,0.9344540238380432,0.14635290205478668,0.2603278160095215
20,4,128,tanh,1.0478572155092636e-05,512,epochs,0.6138591766357422,0.45993149280548096,0.6318594217300415
20,7,256,tanh,0.002795287033842423,128,epochs,0.7614673376083374,0.34610792994499207,0.4966169595718384
20,6,256,sigmoid,0.0012158312537395826,512,epochs,0.8422436118125916,0.2887546122074127,0.40386950969696045
20,6,64,sigmoid,3.9755767869761734e-05,128,epochs,0.4888398051261902,0.520565390586853,0.7269861102104187
10,7,256,sigmoid,1.6124119784087512e-05,512,epochs,0.49013787508010864,0.5184646844863892,0.7060031294822693
10,9,512,tanh,1.6668457296403625e-05,512,epochs,0.7572288513183594,0.34383654594421387,0.48716801404953003
10,10,256,sigmoid,0.004858526166908372,64,epochs,-0.03185737133026123,0.7864636182785034,1.0043615102767944
30,9,512,tanh,0.007891332326420043,512,epochs,0.37681615352630615,0.5903730392456055,0.7720423936843872
30,8,128,tanh,0.00013254358204922562,512,epochs,0.8417465090751648,0.2796878218650818,0.3890538513660431
10,6,512,relu,2.2295027577341865e-05,128,epochs,0.833458423614502,0.2816137373447418,0.4034981429576874
20,6,512,relu,0.00020629932871997568,512,epochs,0.9148626327514648,0.2145146280527115,0.29669323563575745
10,10,256,sigmoid,2.128570531434773e-05,128,epochs,-0.01980268955230713,0.787680983543396,0.9984776377677917
10,10,512,sigmoid,3.5756526664304156e-05,512,epochs,-0.02433764934539795,0.7871357798576355,1.0006951093673706
30,5,128,tanh,0.0018070762831955429,64,epochs,0.9125851988792419,0.1856047809123993,0.2891516089439392
